A) OPERACIONES CONTINUADAS;;;;;
;1. Importe neto de la cifra de negocios.;;;;
;;a) Ventas.;700,701,702,703,704,(706),(708),(709);;
;;b) Prestaciones de servicios.;705;;
;2. Variación de existencias de productos terminados y en curso de fabricación.;;(6930), 71,7930;;
;3. Trabajos realizados por la empresa para su activo.;;73;;
;4. Aprovisionamientos.;;;;
;;a) Consumo de mercaderías.;(600), 6060,6080,6090, 610;;
;;b) Consumo de materias primas y otras materias consumibles.;(601),(602),6061,6062,6081,6082,6091,6092,611,612;;
;;c) Trabajos realizados por otras empresas.;-607;;
;;d) Deterioro de mercaderías, materias primas y otros aprovisionamientos.;(6931),(6932),(6933),7931,7932,7933;;
;5. Otros ingresos de explotación.;;;;
;;a) Ingresos accesorios y otros de gestión corriente.;75;;
;;b) Subvenciones de explotación incorporadas al resultado del ejercicio.;740, 747;;
;6. Gastos de personal.;;;;
;;a) Sueldos, salarios y asimilados.;(640),(641),(6450);;
;;b) Cargas sociales.;(642),(643),(649);;
;;c) Provisiones.;(644),(6457),7950,7957;;
;7. Otros gastos de explotación.;;;;
;;a) Servicios exteriores.;-62;;
;;b) Tributos.;(631),(634),636,639;;
;;c) Pérdidas, deterioro y variación de provisiones por operaciones comerciales.;(650),(694),(695),794,7954;;
;;d) Otros gastos de gestión corriente;(651),(659);;
;8. Amortización del inmovilizado.;;-68;;
;9. Imputación de subvenciones de inmovilizado no financiero y otras.;;746;;
;10. Excesos de provisiones.;;7951,7952,7955,7956;;
;11. Deterioro y resultado por enajenaciones del inmovilizado.;;;;
;;a) Deterioros y pérdidas.;(690),(691),(692),790,791,792;;
;;b) Resultados por enajenaciones y otras.;(670),(671),(672),770,771,772;;
A.1) RESULTADO DE EXPLOTACIÓN (1+2+3+4+5+6+7+8+9+10+11);;;;;
;12. Ingresos financieros.;;;;
;;a) De participaciones en instrumentos de patrimonio.;;;
;;a1) En empresas del grupo y asociadas.;7600, 7601;;
;;a2) En terceros.;7602,7603;;
;;b) De valores negociables y otros instrumentos financieros.;;;
;;b1) De empresas del grupo y asociadas.;7610,7611,76200,76201,76210,76211;;
;;b2) De terceros.;7612,7613,76202,76203,76212,76213,767,769;;
;13. Gastos financieros.;;;;
;;a) Por deudas con empresas del grupo y asociadas.;(6610),(6611),(6615),(6616),(6620),(6621),(6640), (6641),(6650),(6651),(6654), (6655);;
;;b) Por deudas con terceros.;(6612),(6613),(6617),(6618),(6622),(6623),;;
;;;(6624),(6642),(6643),(6652),(6653),(6656), (6657),(669);;
;;c) Por actualización de provisiones;-660;;
;14. Variación de valor razonable en instrumentos financieros.;;;;
;;a) Valor razonable con cambios en pérdidas y ganancias.;(6630),(6631),(6633),7630,7631,7633;;
;;b) Transferencia de ajustes de valor razonable con cambios en el patrimonio neto.;(6632),7632;;
;15. Diferencias de cambio.;;(668),768;;
;16. Deterioro y resultado por enajenaciones de instrumentos financieros.;;;;
;;a) Deterioros y pérdidas.;(696),(697),(698),(699),796,797,798,799;;
;;b) Resultados por enajenaciones y otras.;(666),(667),(673),(675),766,773,775;;
A.2) RESULTADO FINANCIERO (12+13+14+15+16);;;;;
A.3) RESULTADO ANTES DE IMPUESTOS (A.1+A.2);;;;;
;17. Impuestos sobre beneficios.;;(6300),6301,(633),638;;
A.4) RESULTADO DEL EJERCICIO PROCEDENTE DE OPERACIONES CONTINUADAS (A.3+17);;;;;
B) OPERACIONES INTERRUMPIDAS;;;;;
;18. Resultado del ejercicio procedente de operaciones interrumpidas neto de impuestos.;;;;
A.5) RESULTADO DEL EJERCICIO (A.4+18);;;;;