Sección;;;;Cuentas;Valor
A) ACTIVO NO CORRIENTE;;;;;
;I. Inmovilizado intangible.;;;;
;;1. Desarrollo.;;201, (2801), (2901);
;;2. Concesiones.;;202, (2802), (2902);
;;3. Patentes, licencias, marcas y similares.;;203, (2803), (2903);
;;4. Fondo de comercio.;;204, (2804);
;;5. Aplicaciones informáticas.;;206, (2806), (2906);
;;6. Otro inmovilizado intangible.;;205, 209, (2805), (2905);
;II. Inmovilizado material.;;;;
;;1. Terrenos y construcciones.;;210, 211, (2811), (2910), (2911);
;;2. Instalaciones técnicas, y otro inmovilizado material.;;212,213,214,215,216,217,218,219,(2812),(2813),(2814),(2815),(2816), (2817), (2818 ), (2819), (2912), (2913), (2914), (2915), (2916), (2917), (2918), (2919);
;;3. Inmovilizado en curso y anticipos.;;23;
;III. Inversiones inmobiliarias.;;;;
;;1. Terrenos.;;220,(2920);
;;2. Construcciones.;;221,(282),(2921);
;IV. Inversiones en empresas del grupo y asociadas a largo plazo.;;;;
;;1. Instrumentos de patrimonio.;;2403,2404,(2493),(2494),(293);
;;2. Créditos a empresas.;;2423,2424,(2953),(2954);
;;3. Valores representativos de deuda.;;2413,2414,(2943),(2944);
;;4. Derivados.;;;
;;5. Otros activos financieros.;;;
;V. Inversiones financieras a largo plazo.;;;;
;;1. Instrumentos de patrimonio.;;2405,(2495),250,(259);
;;2. Créditos a terceros;;2425,252,253,254,(2955),(298);
;;3. Valores representativos de deuda;;2415,251,(2945),(297);
;;4. Derivados.;;255;
;;5. Otros activos financieros.;;258,26;
;VI. Activos por impuesto diferido.;;;474;
B) ACTIVO CORRIENTE;;;;;
;I. Activos no corrientes mantenidos para la venta.;;;580,581,582,583,584,(599);
;II. Existencias.;;;;
;;1. Comerciales.;;30,(390);
;;2. Materias primas y otros aprovisionamientos.;;31,32,(391),(392);
;;3. Productos en curso.;;33,34,(393),(394);
;;4. Productos terminados.;;35,(395);
;;5. Subproductos, residuos y materiales recuperados.;;36,(396);
;;6. Anticipos a proveedores;;407;
;III. Deudores comerciales y otras cuentas a cobrar.;;;;
;;1. Clientes por ventas y prestaciones de servicios.;;430,431,432,435,436,(437),(490), (4935);
;;2. Clientes, empresas del grupo y asociadas.;;433,434,(4933),(4934);
;;3. Deudores varios.;;44;
;;4. Personal.;;460,544;
;;5. Activos por impuesto corriente.;;4709;
;;6. Otros créditos con las Administraciones Públicas.;;4700,4708,471,472;
;;7. Accionistas (socios) por desembolsos exigidos;;5580;
;IV. Inversiones en empresas del grupo y asociadas a corto plazo.;;;;
;;1. Instrumentos de patrimonio.;;5303,5304,(5393),(5394),(593);
;;2. Créditos a empresas.;;5323,5324,5343,5344,(5953),(5954);
;;3. Valores representativos de deuda.;;5313,5314, 5333,5334,(5943),(5944);
;;4. Derivados.;;;
;;5. Otros activos financieros.;;5353,5354,5523,5524;
;V. Inversiones financieras a corto plazo.;;;;
;;1. Instrumentos de patrimonio.;;5305,540,(5395),(549);
;;2. Créditos a empresas;;5325,5345,542,543,547,(5955),(598),;
;;3. Valores representativos de deuda.;;5315,5335,541,546,(5945),(597);
;;4. Derivados.;;5590,5593;
;;5. Otros activos financieros.;;5355,545,548,551,5525,565,566;
;VI. Periodificaciones a corto plazo.;;;480,567;
;VII. Efectivo y otros activos líquidos equivalentes.;;;;
;;1. Tesorería.;;570,571,572,573,574,575;
;;2. Otros activos líquidos equivalentes.;;576;
TOTAL ACTIVO (A + B);;;;;
A) PATRIMONIO NETO;;;;;
;A-1) Fondos propios.;;;;
;;I. Capital.;;;
;;;1. Capital escriturado.;100, 101, 102;
;;;2. (Capital no exigido).;(1030), (1040);
;;II. Prima de emisión.;;110;
;;III. Reservas.;;;
;;;1. Legal y estatutarias.;112, 1141;
;;;2. Otras reservas.;113,1140,1142,1143,1144,115,119;
;;IV. (Acciones y participaciones en patrimonio propias).;;(108), (109);
;;V. Resultados de ejercicios anteriores.;;;
;;;1. Remanente.;120;
;;;2. (Resultados negativos de ejercicios anteriores).;-121;
;;VI. Otras aportaciones de socios.;;118;
;;VII. Resultado del ejercicio.;;129;
;;VIII. (Dividendo a cuenta).;;-557;
;;IX. Otros instrumentos de patrimonio neto.;;111;
;A-2) Ajustes por cambios de valor.;;;;
;;I. Activos financieros a valor razonable con cambios en el patrimonio neto.;;133;
;;II. Operaciones de cobertura.;;1340;
;;III. Otros.;;137;
;A-3) Subvenciones, donaciones y legados recibidos.;;;130, 131, 132;
B) PASIVO NO CORRIENTE;;;;;
;I. Provisiones a largo plazo.;;;;
;;1. Obligaciones por prestaciones a largo plazo al personal.;;140;
;;2. Actuaciones medioambientales.;;145;
;;3. Provisiones por reestructuración.;;146;
;;4. Otras provisiones.;;141,142,143,147;
;II. Deudas a largo plazo.;;;;
;;1. Obligaciones y otros valores negociables.;;177,178,179;
;;2. Deudas con entidades de crédito.;;1605,17;
;;3. Acreedores por arrendamiento financiero.;;1625,174;
;;4. Derivados.;;176;
;;5. Otros pasivos financieros.;;1615,1635,171,172,173,175,180,185,189;
;III. Deudas con empresas del grupo y asociadas a largo plazo.;;;1603,1604,1613,1614,1623,1624,1633,1634;
;IV. Pasivos por impuesto diferido.;;;479;
;V. Periodificaciones a largo plazo.;;;181;
C) PASIVO CORRIENTE;;;;;
;I. Pasivos vinculados con activos no corrientes mantenidos para la venta.;;;585,586,587,588, 589;
;II. Provisiones a corto plazo.;;;499,529;
;III. Deudas a corto plazo.;;;;
;;1. Obligaciones y otros valores negociables.;;500,501,505,506;
;;2. Deudas con entidades de crédito.;;5105,520,527;
;;3. Acreedores por arrendamiento financiero.;;5125,524;
;;4. Derivados.;;5595,5598;
;;5. Otros pasivos financieros.;;(1034),(1044), (190),(192),194, 509, 5115, 5135, 5145, 521, 522, 523,525,526,528,551,5525,555,5565,5566,560,561,569;
;IV. Deudas con empresas del grupo y asociadas a corto plazo.;;;5103,5104,5113,5114,5123,5124,5133,5134,5143,5144,5523,5524,5563,5564;
;V. Acreedores comerciales y otras cuentas a pagar.;;;;
;;1. Proveedores;;400,401,405,(406);
;;2. Proveedores, empresas del grupo y asociadas.;;403,404;
;;3. Acreedores varios.;;41;
;;4. Personal (remuneraciones pendientes de pago).;;465,466;
;;5. Pasivos por impuesto corriente.;;4752;
;;6. Otras deudas con las Administraciones Públicas.;;4750,4751,4758, 476,477;
;;7. Anticipos de clientes.;;438;
;VI. Periodificaciones a corto plazo.;;;485,568;
TOTAL PATRIMONIO NETO Y PASIVO (A + B + C);;;;;